,fold_0_train,fold_0_val,fold_0_test,fold_1_train,fold_1_val,fold_1_test,fold_2_train,fold_2_val,fold_2_test,fold_3_train,fold_3_val,fold_3_test,fold_4_train,fold_4_val,fold_4_test
10,0.6.95.862445.28.3.0.4.11367555919.1069146289794.5,5.0.40.517780.64.0.7.8.05892509182.9455567895320.9,2.1.80.592458.76.1.5.6.34027459267.0429271186409.9,3.9.248.775437.8.624.4.3833310388.0767430330.552744,6.1.13.565996.06.1.3.6.51001987740.4754025081168.0,7.6.45.935252.00.8.3.0.039109208504690.1801535945266.1,6.5.60.451276.19.3.7.3.14999201588.8670898591186.4,4.2.349.595178.6.879.9.9339085655.3619422709.462996,7.2.49.450324.63.2.9.4.310000508266053.1920778235704.8,5.8.57.116261.63.7.8.7.87154210073.3951891456768.2,3.0.903.236169.8.230.3.6344244446.1248367861.289264,3.6.90.656900.72.7.5.3.20686035528.8474560184885.6,3.1.580.073294.3.558.2.0621626523.4935232544.255932,3.1.905.714601.0.125.8.6509026434.3810378881.60328,7.5.45.410224.00.8.4.4.06170314711.0135284337720.7
11,6.3.535.107067.7.352.6.3469614454.0472516425.335865,0.6.40.385871.69.7.8.3.73433305088.2226282082480.6,2.2.00.119902.68.3.3.7.68751041127.3301773781827.3,1.2.87.253555.93.3.6.6.227006012254284.4790699223216.8,3.4.114.535287.7.882.4.4786788201.0933154092.909165,9.1.361.301903.7.681.2.5660776265.9886488210.138504,1.5.78.720097.42.5.9.4.35570572430.3670430589455.4,5.5.592.169806.4.267.1.8813130512.0787962530.886389,6.7.07.643012.30.2.6.9.66555426131.0343889593097.5,3.0.95.784024.17.0.9.2.05427576680063.3436743695673.4,5.0.69.097521.20.5.1.6.31085055841.7071104346526.8,2.0.30.268537.27.2.4.8.652069588658296.7853001953682.3,4.9.35.860860.05.8.9.9.26879341678.9538664108601.8,1.3.272.245133.3.227.0.5285282086.4616261128.677133,6.9.48.080417.81.6.5.7.62372565115.3534861694662.1
12,7.8.90.189208.43.6.3.5.88551838981.9201084833296.4,5.8.01.554839.15.0.5.4.27978450571.9418190367181.0,9.8.84.585969.80.6.9.3.64946922733.9699029192719.6,3.8.40.589707.88.5.3.4.77078475048.1285826504453.3,1.0.784.853698.1.218.9.7640385687.5581190393.684974,0.5.81.789741.34.4.4.3.18349770805.6571199966060.2,0.4.03.466051.02.1.6.6.23487799120.7231465049449.5,0.7.39.314748.78.0.8.2.21939667680.7980790080022.3,4.7.93.852981.70.1.6.7.45255741842.3251039404161.1,9.9.72.962455.10.8.4.9.37987326023.6305185336512.6,5.5.80.255039.42.9.0.3.253722280443309.6961734234257.1,7.4.40.441635.59.7.6.7.50897479623371.0099412103922.6,2.8.86.918754.86.2.7.1.06815429529.6770345807791.1,1.0.324.462819.3.829.0.4416558773.3449201284.188356,3.3.69.210869.13.9.9.2.12051549792.6844722789969.1
13,4.7.60.627462.78.2.4.6.72070856956.0795247579924.8,9.6.672.653372.5.148.2.8575638380.8531427837.239447,7.7.11.525764.01.7.7.8.60517220002.7699652901454.4,2.5.68.540098.56.3.6.7.38889787337.4892032342129.3,2.0.224.546462.2.793.0.5400034984.5517798839.460985,1.9.79.315877.81.9.8.0.14638612174.7443348214527.2,2.6.48.979862.18.5.3.1.214311523109308.3901455255047.1,8.8.74.840623.52.9.4.7.83209416342.8208709104536.1,6.1.681.229912.3.425.6.5938855168.2312857419.333932,0.9.260.879426.4.700.4.0521280674.4668256859.428399,4.4.60.636473.38.6.4.5.90851730503.9676750420901.9,1.9.96.884946.46.5.6.1.530644516052689.7921761695164.6,3.5.73.117849.15.4.7.4.53799962508.7119174385152.0,5.9.761.689128.1.548.1.5598720122.7805655302.52231,0.8.32.329456.63.8.6.6.54307017921243.8106531402033.8
14,9.7.44.766401.92.3.5.8.50204796118.4237836289802.5,4.7.04.578588.76.591160699488.2113.3801021675095,1.8.67.877941.11.8.8.3.17610611197.4375886068937.6,1.6.19.990085.06.0.9.7.55450350241.0049694039321.5,1.3.25.105946.93.5.8.7.68561544485.3247633329833.0,3.8.57.262422.21.7.4.2.76368393208.4674572523597.2,0.9.548.439569.7.238.9.2605902446.4428737628.943817,0.7.23.393132.08.0.3.0.820612714327602.2365594084213.5,6.1.108.541309.1.548.5.1747582052.4412672214.900651,4.3.601.161541.5.354.1.0134009647.4246286503.453061,0.2.515.517386.7.466.6.9501661178.5033824861.729777,4.6.762.576049.7.607.3.2432672523.4112788180.807082,6.5.33.518112.34.8.2.0.83761878683.1891439324968.7,3.0.33.472814.91.3.5.8.747958415763198.7327536982206.0,4.5.15.552317.41.3.3.3.33237641348.2151610196632.0
15,2.7.42.360201.67.5.8.2.73017965158.3705587907748.5,8.4.669.232372.4.338.5.9500297158.4316052501.961329,4.4.67.084603.46.8.4.3.41306190033.3455322854557.3,9.9.54.776781.18.7.3.7.364447473405769.3562351399021.0,9.0.056.831637.5.977.2.3092739846.1974932828.241106,8.1.45.642852.98.5.1.1.45808506487.2309641056247.6,2.3.83.424892.21.1.7.6.25263083823.6967854968189.5,1.3.57.153665.18.0.2.4.48905167604.7308211037739.7,6.9.63.508759.71.1.6.5.546529584439816.7754408724471.3,0.3.757.621461.3.237.6.6645838281.8165039452.082687,6.2.70.465431.88.5.8.6.07981464434.9377594060424.4,1.5.96.592617.01.0.6.5.30869915145.7702373853461.1,7.5.99.753206.23.1.1.0.21082853806.2796762955481.2,4.9.61.121678.57.4.7.0.38739692605.9934774841970.9,3.2.956.313121.0.249.3.8579498447.0546229991.684328
16,1.3.750.595941.4.340.9.1364633444.9557274915.778413,5.4.11.264132.97.7.2.9.832568089782043.7086060601433.2,6.2.81.570731.00.6.6.0.008683751738548.1137646844676.5,6.4.98.191644.15.0.5.1.65868338987.0059426106650.5,3.4.642.627402.6.567.8.6560879528.7804135439.199306,4.8.18.203228.99.6.5.2.36509102498.1851369630151.8,7.3.950.018536.3.512.0.8194331808.5087969152.839112,7.9.85.737496.08.1.6.5.646037089204473.4056144325179.8,7.4.10.036417.63.5.4.8.92890252949.6199470269602.9,2.0.82.264712.25.8.1.8.12381211448.7391751589132.1,6.4.45.583317.94.9.4.4.215362166855482.4292580903668.9,1.1.56.800667.97.5.1.7.83453631629.9216985956267.0,2.7.64.358721.46.6.1.5.821750839233071.6080441669259.3,0.8.109.225505.1.052.9.0354523556.6220193066.996468,7.1.05.022199.34.6.7.3.98896670889.6721727801704.6
17,4.3.28.345932.20.6.3.8.672116980836266.0336102223600.7,6.8.304.862459.8.133.8.7670129327.3446284394.847474,7.3.823.112920.0.689.7.7027379593.8252319828.184137,9.7.28.568884.36.6.6.1.96501156248.7771643985885.8,3.1.473.839493.1.608.7.1243609647.7677698050.089302,4.9.040.886186.5.784.6.7627002131.7153983765.709995,8.4.788.710564.2.381.3.2912815597.8501039150.865475,4.4.65.841119.09.6.0.7.976560461006751.9053175578299.7,4.9.552.500987.9.036.9.9977975996.6783903341.503061,6.3.111.830773.8.434.1.0914767036.2684882253.99139,4.7.129.475053.4.299.7.3336121264.0124767700.607817,9.4.19.302599.51.4.1.6.29760281363.9224957348022.6,5.8.99.766543.70.7.6.6.223194418647331.2030233838921.5,2.1.337.752290.5.292.5.4187228346.7916400360.374279,7.6.272.718765.9.827.3.4449802335.8394320908.340330
18,4.2.69.844392.48.9.3.9.621376540846308.4160127080940.7,3.6.801.506303.2.919.2.5137002324.9524220495.341542,2.3.341.649853.6.082.1.6761362078.0073635873.216629,6.1.940.108405.4.560.9.4266706090.0531486726.478878,7.8.82.441973.81.9.3.0.83808617075.0588847722253.6,4.2.29.270302.97.1.4.1.53073584873.5667517739659.7,5.8.589.808960.8.171.4.5846172256.2987340131.134600,9.8.883.861513.3.990.7.2972676614.5952861996.750418,0.1.274.571875.2.075.3.6976018305.1958291987.744927,8.3.459.256771.8.406.3.5987643302.3458339785.700579,2.5.73.092516.25.9.7.7.68071767855.7208378421353.3,0.3.10.634658.20.2.4.0.682612717447435.7702709358151.8,2.3.49.501761.31.7.0.3.56763066726.0731504406672.7,0.3.52.644369.33.2.1.6.825529206715880.5108688521376.3,8.0.05.177114.53.6.8.9.58107435872107.2592942493816.5
19,6.5.926.686471.2.086.4.1008192642.7102455553.931590,7.6.23.312237.44.944525357435.4597.1820932216019,7.5.21.004124.29.9.7.2.209955302884261.1135110491043.1,8.2.65.849460.11.4.3.3.579596365205288.4724694433947.4,2.9.97.439023.98.2.6.8.91526488372.0991581094370.3,0.0.680.480142.6.046.5.6819336152.3493306284.422085,1.9.825.907379.4.773.9.0148429816.3980169901.107662,4.0.87.311778.49.0.8.8.657140536666001.3600061664743.9,7.7.531.670848.4.140.0.3175136979.1887197847.242257,7.0.34.665475.22.6.2.5.798397850261974.3239427099372.5,1.8.08.520100.42.9.2.8.50153094992900.1417045441437.6,9.4.90.468792.86.7.5.5.677106864070374.8424621233117.4,6.3.43.952299.56.2.4.4.161311311840035.6168854277985.3,6.6.67.494199.73.5.7.8.51559571337.6328696539581.0,3.5.16.597369.30.9.3.4.674115770234679.3696096165798.8
20,9.7.31.802004.61.3.5.7.27382212319.6784613839543.7,6.8.021.287660.3.589.4.6237821841.3276142197.416506,5.9.41.327238.68.2.9.7.30570851432.1030902833841.2,2.7.47.607649.72.4.1.6.55390193151.1912673379710.5,1.2.76.471369.64.6.5.3.40888031632.0844536291655.3,8.3.41.831285.16.8.6.4.650539584112502.8218125629941.7,4.1.334.940656.7.197.1.4412351016.7773996501.156947,7.9.89.348624.56.1.6.9.500957959196029.9669187402712.2,5.1.12.576874.12.2.7.9.217006384110934.2821020298927.0,5.5.18.687429.42.1.9.1.325510727120976.1305884908775.3,0.1.56.088747.86.5.9.7.12698625586.2350026886623.6,4.5.45.107807.76.9.4.6.96354045070.0821321770808.6,2.7.927.944419.1.719.4.0741168060.2921124716.277060,7.7.88.354266.01.7.5.0.03118842063.8199043653612.2,6.2.87.976841.87.4.1.5.75768745784.5802919661476.5
21,2.0.58.037199.70.6.5.1.799963357648516.9833579741279.5,0.5.64.384244.03.1.7.5.94929038580.1511503311239.5,4.9.180.099848.4.221.6.7443399511.6315314092.912566,2.2.92.416701.32.3.9.3.26151695642.8734537724939.4,0.6.67.507321.86.9.2.8.93908638525.8553980120268.3,5.8.195.337408.2.823.0.7469404199.0267592419.370473,6.1.413.047324.2.136.0.7318399294.6786807837.650307,2.3.78.341176.18.7.0.2.63448989231.9561453371841.1,1.1.07.605961.19.0.4.7.76180950296.7157012261057.9,2.0.95.809571.09.1.6.9.44643854528.1893350526734.3,8.3.71.029146.51.9.5.1.96313542026495.3287657812743.5,2.3.00.555313.68.1.5.0.99861568983.3270724462725.4,4.9.930.300066.3.604.7.2783614409.9209021034.260593,0.6.24.653230.21.2.1.9.62897112908.7921293884250.4,0.3.11.153882.37.6.3.1.36527650893.5608953455889.8
22,6.7.10.656494.59.0.6.6.47408906680.2273721716879.5,8.9.294.997600.2.992.1.5722975601.9034878173.917654,5.4.98.793382.39.8.0.5.00773870375.5031937740214.8,7.6.04.166219.32.3.3.6.891760413723621.1690475198073.7,0.2.710.691475.5.275.2.7177832827.7117059000.376885,7.8.30.078727.68.9.2.6.32020547818.1758670601269.9,9.8.380.644365.5.881.5.6266130400.2134838080.595231,9.8.146.772818.1.891.6.6416022228.2590471857.078905,9.3.11.876386.94.3.2.0.58743790994.0487592443232.7,5.1.036.129657.5.864.2.5207666219.2308095244.227781,9.0.32.746107.32.5.7.3.59284083716.9858761627971.7,0.9.90.765296.93.6.9.1.01505312049.2267070658630.4,5.6.63.754477.51.7.3.8.49633120079.9746385441903.3,8.1.95.506526.03.9.5.0.70005951009.9956409145800.2,8.1.81.078172.38.0.4.9.91649202580.9323554513095.0
23,7.3.49.772450.37.8.6.3.26320346706.9531436570506.1,2.6.675.422417.9.176.2.9600936378.5874888776.870484,1.0.874.113951.7.407.9.5433145788.7047834010.733245,0.3.08.867547.25.2.6.4.59706304001.6477969014097.6,6.0.958.699138.3.697.1.0925574173.9722813481.837374,9.2.97.397323.60.9.2.1.26774189381.4710480508268.5,8.3.731.956642.8.700.5.2987089270.1318718420.284691,6.1.58.763779.45.7.7.6.340030723715300.1456476914841.0,7.6.729.630201.0.127.4.5561088003.7732091872.255075,5.1.97.057219.62.5.4.4.826784509964755.5746095967136.6,6.0.66.941743.99.4.9.1.15497169948.9255795731202.0,5.6.73.861772.82.2.5.8.07028112816.1499877775165.5,1.2.17.403735.31.2.9.7.290119016683391.1894939733901.7,3.2.887.153135.9.059.4.3324564880.2879190756.061558,8.4.25.820603.93.0.2.6.563005319480415.4514320882296.8
24,2.7.32.277687.21.6.8.9.267306767550926.2771162523920.2,9.1.37.995687.16.3.8.4.51001153894.9316723061583.8,4.9.76.598958.57.378156447120.8081.1252477894094,1.0.95.038919.27.3.4.9.55760040548.2069770272124.2,8.1.15.107721.31.2.2.2.11416776006.7142987404552.5,4.2.439.176490.4.564.1.9218308564.5277414608.74846,1.1.73.634939.19.9.2.5.736231089331961.9017471062265.7,9.6.67.671048.74.4.3.1.70968899596.7082126597119.4,7.2.56.448597.37.3.4.6.89831972836.5051133884025.1,6.2.19.238683.32.3.1.8.01861480759.2567649949728.1,1.5.56.923533.98.5.2.8.11824302944.5101759609704.3,7.6.356.530894.0.251.7.6850371216.6578267959.175842,2.1.906.502614.4.596.5.1237836445.2909652726.039516,5.1.33.549968.04.7.5.8.544163098616254.6591111595422.1,8.3.253.033681.9.083.0.1220898661.1665952091.173862
25,1.8.630.175777.0.157.8.9903820255.4625934701.410634,0.7.547.891479.8.688.6.9116856582.5312008541.545806,4.7.95.836790.31.5.3.7.644951480917904.0283214707039.3,8.7.59.228902.30.3.2.1.47217593709.1548442610384.4,0.9.84.234654.52.9.5.1.258416674764611.2611168078082.3,2.8.93.444385.73.6.0.0.85090576278.9317538151270.2,9.9.25.924808.12.4.1.0.30620018547.0371243280411.8,2.1.34.929500.11.5.3.6.09101067257.2004662300071.9,0.2.898.655107.3.764.5.8089387412.4429193267.158404,2.5.61.216711.82.2.8.1.33102438262.8720012085752.2,9.4.70.915044.06.1.2.7.190880033472816.0272404435157.5,4.3.707.405597.9.556.4.8202990021.5410575714.16323,2.9.31.666143.07.7.6.2.168008918947033.7353576956056.0,9.1.85.354833.47.0.1.2.06753017086.8871630822399.3,5.0.78.532317.78.4.8.6.76507161287.3878682408573.1
26,1.6.041.085127.4.515.2.1867552849.7968700462.524715,8.9.32.904148.13.6.7.1.77462427158160.2857143710224.2,5.0.03.465321.36.8.3.3.42541295692.3654688542305.0,2.4.892.749456.8.384.3.9641154390.1583891832.927398,8.6.52.656849.54.9.1.1.91662446507.0713551068930.5,2.9.31.951256.83.2.8.8.08241717246.4726842468433.9,2.7.84.921606.79.7.8.7.08032994084.7512995375879.2,5.4.37.077794.79.3.1.7.63197596398.3906235085049.8,1.3.49.714112.83.7.3.1.38315171865.5987627758541.2,2.6.91.590057.06.0.1.8.535522347240046.1481296355924.9,9.1.28.694263.84.9.5.9.98947866596.1641340799023.0,1.7.97.261227.39.2.9.3.769627541435883.2101206010694.5,8.3.47.169860.86.8.6.2.709847942698140.8402408729182.5,3.9.90.020481.74.2.0.8.730650654864514.7638608667520.9,4.4.61.170542.38.7.1.8.097690133928240.8575094270898.8
27,7.1.41.179394.24.5.4.6.28599192814053.2002220648629.8,9.1.67.730065.13.2.3.4.671969876200371.0549502528664.9,0.8.68.786273.89.8.7.2.38007227259.5535538819254.5,2.8.66.721615.58.7.9.7.54667043427.6493364133817.0,2.7.58.633648.81.1.3.0.184621808564271.2216622512820.9,1.0.26.337826.10.0.8.3.530254408489826.9314232200033.8,6.4.156.035457.1.579.9.7703876011.5222722434.430303,5.9.42.075794.04.3.0.8.568733465630135.1585225523658.7,7.0.02.571359.46.5.7.4.911923834143951.9049914117034.1,6.4.618.615795.3.033.5.1916981210.2591690244.694461,1.3.75.253988.36.9.4.5.50536216854.9583839481365.1,6.6.24.778646.34.8.0.2.24995860070.0682464058095.6,2.8.281.052010.3.712.6.6292392981.3075164754.884568,2.8.15.955806.13.1.5.4.91142840871.2895824940867.5,9.0.95.569442.76.5.8.0.19733307089.3873029678451.2
28,7.6.481.772020.6.865.4.5070686806.2680158346.278780,1.0.757.594572.9.515.6.8899993022.7596274378.135950,3.2.11.635489.83.5.5.8.07994564205.2974411531145.1,5.9.83.074042.35.6.0.2.59095650277.0760509416592.9,4.0.42.499516.57.3.7.9.52644148790913.2179536976421.1,2.3.561.804857.6.189.0.0212998369.0608903685.800497,2.1.929.904887.2.130.0.3556053283.7986740479.701801,9.8.42.227394.05.2.6.7.89905394795654.1103993519358.0,9.3.96.992369.41.9.6.7.86581419438.7513527429818.8,9.6.42.508260.79.3.5.3.979758293994819.0351644827596.8,1.8.318.271637.3.339.1.1846663319.5158083622.899019,9.9.15.732337.87.6.9.1.79232696706113.9088121082674.2,5.8.91.073838.43.6.4.0.27205449644.5977398512086.4,1.7.17.925792.83.7.4.9.60584681467.1689432973287.5,5.5.59.581326.31.6.7.9.34240460347.5032658347843.8
29,1.0.989.677145.7.295.2.7824689226.1134211085.314914,0.5.799.239761.0.842.6.7411860046.3357957567.52620,1.3.37.242980.46.9.2.9.29509843436.3701935204855.5,0.7.749.446350.0.418.0.3941701409.9454983950.341309,3.5.91.332157.20.7.0.5.32230455902.6729165314393.3,1.6.58.085813.64.5.0.1.70883288318.7994820777585.6,6.5.874.724931.3.772.2.8235631801.4556615861.321804,2.4.469.108833.1.116.5.2059171216.2621006872.718838,3.0.81.318047.28.1.1.2.77551737426.8307503910039.2,3.3.62.384607.95.0.0.6.92019243370.0467830970775.7,2.8.77.562361.86.2.5.4.42556223148.4808317639212.5,8.0.30.680684.59.5.2.5.264765628423731.5653901450609.7,6.6.26.884136.61.8.2.0.48233730319.9689758814186.9,1.6.42.645272.86.9.8.4.38852682531847.3748087466424.1,9.3.558.071409.8.068.2.0864491098.9115376766.57226
